TIME,PLAY,TEAM,PLAYER,MD SCORE,BS SCORE
19:45,Turnover,BS,"Jackson,M",0,0
19:43,Steal,MD,Sulaimon,0,0
19:41,Missed Layup,MD,Sulaimon,0,0
19:41,Rebound,MD,Layman,0,0
19:40,Foul,BS,Beck,0,0
19:20,Missed 3,MD,Layman,0,0
19:20,Rebound,MD,Carter,0,0
19:16,Missed 3,MD,Sulaimon,0,0
19:16,Rebound,BS,"Jackson,M",0,0
19:02,Rebound,MD,Team,0,0
19:02,Missed 3,BS,Jackson,0,0
18:43,Turnover,MD,Carter,0,0
18:29,Rebound,MD,Trimble,0,0
18:29,Missed Jumper,BS,Beck,0,0
18:22,Turnover,MD,Trimble,0,0
18:16,Rebound,MD,Trimble,0,0
18:16,Missed 3,BS,"Jackson,M",0,0
18:06,Foul,BS,Ebinum,0,0
17:56,Layup,MD,Stone,2,0
17:33,Rebound,MD,Carter,2,0
17:33,Missed Jumper,BS,Wells,2,0
17:25,Layup,MD,Stone,4,0
17:25,Assist,MD,Layman,4,0
17:10,Missed Layup,BS,Beck,4,0
17:10,Rebound,BS,"Jackson,M",4,0
17:06,Tip-In,BS,"Jackson, M",4,2
16:49,Foul,BS,Wells,4,2
16:39,Layup,MD,Layman,6,2
16:39,Assist,MD,Carter,6,2
16:24,Missed Jumper,BS,Jackson,6,2
16:24,Rebound,BS,Beck,6,2
16:15,Foul,MD,Trimble,6,2
16:15,Missed FT Shot,BS,Ebinum,6,2
16:15,Rebound,BS,Deadball,6,2
16:15,FT Shot,BS,Ebinum,6,3
16:15,Sub,MD,Nickens,6,3
16:15,Sub,BS,Livingston,6,3
16:15,Sub Out,MD,Trimble,6,3
16:15,Sub ,BS,Briscoe,6,3
16:15,Sub Out,BS,"Jackson, M",6,3
15:50,Foul,BS,Ebinum,6,3
15:50,Media Timeout,N/A,N/A,6,3
